time,Absorbance_227,Relative_Uncertainty,W
0.000687176,0.0314394,0.1,1.00E-11
0.000691033,0.0310851,0.1,1.00E-11
0.00069489,0.0307349,0.1,1.00E-11
0.000698748,0.0303888,0.1,1.00E-11
0.000702605,0.0300467,0.1,1.00E-11
0.000706462,0.0297085,0.1,1.00E-11
0.00071032,0.0293742,0.1,1.00E-11
0.000714177,0.0290437,0.1,1.00E-11
0.000718034,0.0287171,0.1,1.00E-11
0.000721892,0.0283942,0.1,1.00E-11
0.000725749,0.0280751,0.1,1.00E-11
0.000729606,0.0277596,0.1,1.00E-11
0.000733464,0.0274478,0.1,1.00E-11
0.000737321,0.0271395,0.1,1.00E-11
0.000741178,0.0268348,0.1,1.00E-11
0.000745035,0.0265335,0.1,1.00E-11
0.000748893,0.0262358,0.1,1.00E-11
0.00075275,0.0259414,0.1,1.00E-11
0.000756607,0.0256504,0.1,1.00E-11
0.000760465,0.0253628,0.1,1.00E-11
0.000764322,0.0250785,0.1,1.00E-11
0.000768179,0.0247974,0.1,1.00E-11
0.000772037,0.0245195,0.1,1.00E-11
0.000775894,0.0242448,0.1,1.00E-11
0.000779751,0.0239733,0.1,1.00E-11
0.000783609,0.0237048,0.1,1.00E-11
0.000787466,0.0234395,0.1,1.00E-11
0.000791323,0.0231771,0.1,1.00E-11
0.000795181,0.0229178,0.1,1.00E-11
0.000799038,0.0226614,0.1,1.00E-11
0.000802895,0.022408,0.1,1.00E-11
0.000806753,0.0221574,0.1,1.00E-11
0.00081061,0.0219097,0.1,1.00E-11
0.000816831,0.0215161,0.1,1.00E-11
0.000823052,0.0211297,0.1,1.00E-11
0.000829274,0.0207504,0.1,1.00E-11
0.000835495,0.0203781,0.1,1.00E-11
0.000841716,0.0200125,0.1,1.00E-11
0.000847937,0.0196536,0.1,1.00E-11
0.000854159,0.0193013,0.1,1.00E-11
0.00086038,0.0189554,0.1,1.00E-11
0.000866601,0.0186158,0.1,1.00E-11
0.000876419,0.0180924,0.1,1.00E-11
0.000886237,0.0175839,0.1,1.00E-11
0.000896055,0.01709,0.1,1.00E-11
0.000905873,0.0166101,0.1,1.00E-11
0.00091569,0.0161439,0.1,1.00E-11
0.000925508,0.015691,0.1,1.00E-11
0.000935326,0.0152509,0.1,1.00E-11
0.000945144,0.0148234,0.1,1.00E-11
0.000954962,0.0144079,0.1,1.00E-11
0.00096478,0.0140043,0.1,1.00E-11
0.000974598,0.0136121,0.1,1.00E-11
0.000984416,0.013231,0.1,1.00E-11
0.000994234,0.0128606,0.1,1.00E-11
0.001004051,0.0125007,0.1,1.00E-11
