Time,OH_ppm,Relative_Uncertainty,W
0.000497,33.3,0.05,0.0316227766
0.000498,33.3,0.05,0.0316227766
0.000499,33.3,0.05,0.0316227766
0.0005,33.3,0.05,0.0316227766
0.000501,33.2,0.05,0.0316227766
0.000502,33.1,0.05,0.0316227766
0.000503,33.1,0.05,0.0316227766
0.000504,33.3,0.05,0.0316227766
0.000505,33.1,0.05,0.0316227766
0.000506,33.1,0.05,0.0316227766
0.000507,33.1,0.05,0.0316227766
0.000508,33,0.05,0.0316227766
0.000509,33,0.05,0.0316227766
0.00051,33,0.05,0.0316227766
0.000511,33,0.05,0.0316227766
0.000512,32.9,0.05,0.0316227766
0.000513,32.8,0.05,0.0316227766
0.000514,32.8,0.05,0.0316227766
0.000515,32.8,0.05,0.0316227766
0.000516,32.8,0.05,0.0316227766
0.000517,32.8,0.05,0.0316227766
0.000518,32.7,0.05,0.0316227766
0.000519,32.8,0.05,0.0316227766
0.00052,32.6,0.05,0.0316227766
0.000521,32.6,0.05,0.0316227766
0.000522,32.5,0.05,0.0316227766
0.000523,32.6,0.05,0.0316227766
0.000524,32.3,0.05,0.0316227766
0.000525,32.4,0.05,0.0316227766
0.000526,32.3,0.05,0.0316227766
0.000527,32.1,0.05,0.0316227766
0.000528,32.2,0.05,0.0316227766
0.000529,32.2,0.05,0.0316227766
0.00053,32,0.05,0.0316227766
0.000531,32,0.05,0.0316227766
0.000532,32,0.05,0.0316227766
0.000533,31.9,0.05,0.0316227766
0.000534,32.1,0.05,0.0316227766
0.000535,32.1,0.05,0.0316227766
0.000536,31.9,0.05,0.0316227766
0.000537,31.8,0.05,0.0316227766
0.000538,31.8,0.05,0.0316227766
0.000539,31.8,0.05,0.0316227766
0.00054,32,0.05,0.0316227766
0.000541,31.7,0.05,0.0316227766
0.000542,31.7,0.05,0.0316227766
0.000543,31.9,0.05,0.0316227766
0.000544,31.7,0.05,0.0316227766
0.000545,31.7,0.05,0.0316227766
0.000546,31.8,0.05,0.0316227766
0.000547,31.7,0.05,0.0316227766
0.000548,31.6,0.05,0.0316227766
0.000549,31.6,0.05,0.0316227766
0.00055,31.5,0.05,0.0316227766
0.000551,31.3,0.05,0.0316227766
0.000552,31.3,0.05,0.0316227766
0.000553,31.5,0.05,0.0316227766
0.000554,31.4,0.05,0.0316227766
0.000555,31.3,0.05,0.0316227766
0.000556,31.3,0.05,0.0316227766
0.000557,31.4,0.05,0.0316227766
0.000558,31.4,0.05,0.0316227766
0.000559,31.2,0.05,0.0316227766
0.00056,31.2,0.05,0.0316227766
0.000561,31.1,0.05,0.0316227766
0.000562,31.1,0.05,0.0316227766
0.000563,31.1,0.05,0.0316227766
0.000564,31,0.05,0.0316227766
0.000565,31,0.05,0.0316227766
0.000566,31,0.05,0.0316227766
0.000567,31,0.05,0.0316227766
0.000568,30.9,0.05,0.0316227766
0.000569,30.9,0.05,0.0316227766
0.00057,30.7,0.05,0.0316227766
0.000571,30.6,0.05,0.0316227766
0.000572,30.7,0.05,0.0316227766
0.000573,30.4,0.05,0.0316227766
0.000574,30.8,0.05,0.0316227766
0.000575,30.4,0.05,0.0316227766
0.000576,30.6,0.05,0.0316227766
0.000577,30.4,0.05,0.0316227766
0.000578,30.5,0.05,0.0316227766
0.000579,30.2,0.05,0.0316227766
0.00058,30.3,0.05,0.0316227766
0.000581,30.3,0.05,0.0316227766
0.000582,30.4,0.05,0.0316227766
0.000583,30.4,0.05,0.0316227766
0.000584,30.1,0.05,0.0316227766
0.000585,30.1,0.05,0.0316227766
0.000586,30.1,0.05,0.0316227766
0.000587,30,0.05,0.0316227766
0.000588,30,0.05,0.0316227766
0.000589,29.8,0.05,0.0316227766
0.00059,29.9,0.05,0.0316227766
0.000591,30,0.05,0.0316227766
0.000592,29.8,0.05,0.0316227766
0.000593,29.8,0.05,0.0316227766
0.000594,29.8,0.05,0.0316227766
0.000595,29.7,0.05,0.0316227766
0.000596,29.7,0.05,0.0316227766
0.000597,29.7,0.05,0.0316227766
0.000598,29.8,0.05,0.0316227766
0.000599,29.5,0.05,0.0316227766
0.0006,29.6,0.05,0.0316227766
0.000601,29.6,0.05,0.0316227766
0.000602,29.5,0.05,0.0316227766
0.000603,29.4,0.05,0.0316227766
0.000604,29.4,0.05,0.0316227766
0.000605,29.2,0.05,0.0316227766
0.000606,29.3,0.05,0.0316227766
0.000607,29.1,0.05,0.0316227766
0.000608,29,0.05,0.0316227766
0.000609,28.9,0.05,0.0316227766
0.00061,29.1,0.05,0.0316227766
0.000611,29.1,0.05,0.0316227766
0.000612,29.1,0.05,0.0316227766
0.000613,29,0.05,0.0316227766
0.000614,29.1,0.05,0.0316227766
0.000615,29,0.05,0.0316227766
0.000616,28.8,0.05,0.0316227766
0.000617,28.9,0.05,0.0316227766
0.000618,28.6,0.05,0.0316227766
0.000619,28.8,0.05,0.0316227766
0.00062,28.6,0.05,0.0316227766
0.000621,28.7,0.05,0.0316227766
0.000622,28.7,0.05,0.0316227766
0.000623,28.6,0.05,0.0316227766
0.000624,28.5,0.05,0.0316227766
0.000625,28.5,0.05,0.0316227766
0.000626,28.7,0.05,0.0316227766
0.000627,28.6,0.05,0.0316227766
0.000628,28.5,0.05,0.0316227766
0.000629,28.6,0.05,0.0316227766
0.00063,28.5,0.05,0.0316227766
0.000631,28.7,0.05,0.0316227766
0.000632,28.4,0.05,0.0316227766
0.000633,28.3,0.05,0.0316227766
0.000634,28.3,0.05,0.0316227766
0.000635,28.1,0.05,0.0316227766
0.000636,28.2,0.05,0.0316227766
0.000637,28.1,0.05,0.0316227766
0.000638,28.1,0.05,0.0316227766
0.000639,28.1,0.05,0.0316227766
0.00064,28,0.05,0.0316227766
0.000641,28.1,0.05,0.0316227766
0.000642,27.9,0.05,0.0316227766
0.000643,27.9,0.05,0.0316227766
0.000644,28,0.05,0.0316227766
0.000645,27.8,0.05,0.0316227766
0.000646,27.8,0.05,0.0316227766
0.000647,27.8,0.05,0.0316227766
0.000648,27.6,0.05,0.0316227766
0.000649,27.8,0.05,0.0316227766
0.00065,27.7,0.05,0.0316227766
0.000651,27.6,0.05,0.0316227766
0.000652,27.5,0.05,0.0316227766
0.000653,27.8,0.05,0.0316227766
0.000654,27.5,0.05,0.0316227766
0.000655,27.4,0.05,0.0316227766
0.000656,27.5,0.05,0.0316227766
0.000657,27.6,0.05,0.0316227766
0.000658,27.5,0.05,0.0316227766
0.000659,27.4,0.05,0.0316227766
0.00066,27.3,0.05,0.0316227766
0.000661,27.4,0.05,0.0316227766
0.000662,27.4,0.05,0.0316227766
0.000663,27.5,0.05,0.0316227766
0.000664,27.5,0.05,0.0316227766
0.000665,27.3,0.05,0.0316227766
0.000666,27.2,0.05,0.0316227766
