time,OH_ppm,Relative_Uncertainty,W
0.000823121,25.50588341,0.05,5.21E-02
0.000828455,25.43508891,0.05,5.21E-02
0.000833789,25.36451111,0.05,5.21E-02
0.000839122,25.29415206,0.05,5.21E-02
0.000847668,25.1818839,0.05,5.21E-02
0.000856213,25.0701906,0.05,5.21E-02
0.000864758,24.95908,0.05,5.21E-02
0.000873304,24.84855971,0.05,5.21E-02
0.000881849,24.73863708,0.05,5.21E-02
0.000890395,24.62931922,0.05,5.21E-02
0.00089894,24.520613,0.05,5.21E-02
0.000907486,24.41252505,0.05,5.21E-02
0.000916031,24.30506174,0.05,5.21E-02
0.000924577,24.1982292,0.05,5.21E-02
0.000933122,24.09203335,0.05,5.21E-02
0.000941668,23.98647985,0.05,5.21E-02
0.000950213,23.88157413,0.05,5.21E-02
0.000958759,23.77732137,0.05,5.21E-02
0.000967304,23.67372655,0.05,5.21E-02
0.000975849,23.57079442,0.05,5.21E-02
0.000984395,23.46852948,0.05,5.21E-02
0.00099294,23.36693601,0.05,5.21E-02
0.001001486,23.26601806,0.05,5.21E-02
