Pressure,Density,Temperature,k1,O2,H2O,OH,H,NH3,NH2,Ar
0.667609805889465,4.50E+18,1090,89727800000,6.21E-03,0,0,4.44938820912125E-07,3.00E-04,4.44938820912125E-07,0.993486110122358
0.610899047068394,4.36E+18,1029,64435400000,1.24E-02,0,0,4.5903144365389E-07,3.00E-04,4.5903144365389E-07,0.987269081937113
0.365740839074611,2.40E+18,1117,98158600000,4.95E-03,0,0,8.32292967124428E-07,5.13E-04,8.32292967124428E-07,0.994535835414066
0.426396580414508,2.57E+18,1220,201134800000,4.95E-03,0,0,7.79727095516569E-07,5.13E-04,7.79727095516569E-07,0.994535940545809
0.434360806832124,2.58E+18,1237,268581200000,4.95E-03,0,0,7.76096235933256E-07,5.13E-04,7.76096235933256E-07,0.994535947807528
0.45947001012228,2.62E+18,1289,316757200000,4.95E-03,0,0,7.64525993883792E-07,5.13E-04,7.64525993883792E-07,0.994535970948012
0.435790168072193,2.57E+18,1243,274603200000,4.95E-03,0,0,7.77302759424796E-07,5.13E-04,7.77302759424796E-07,0.994535945394481
0.485611105945423,2.70E+18,1318,382397000000,5.00E-03,0,0,7.39644970414201E-07,3.00E-04,7.39644970414201E-07,0.994703520710059
0.482853351690155,2.70E+18,1311,458274200000,5.00E-03,0,0,7.39918608953015E-07,3.00E-04,7.39918608953015E-07,0.994703520162782
0.40426464529361,2.53E+18,1175,183671000000,5.00E-03,0,0,7.92079207920792E-07,3.00E-04,7.92079207920792E-07,0.994703415841584
0.493128810267357,2.72E+18,1332,328199000000,5.00E-03,0,0,7.36105999263894E-07,3.00E-04,7.36105999263894E-07,0.994703527788001
0.412710684994819,2.56E+18,1185,214985400000,5.00E-03,0,0,7.82472613458529E-07,3.00E-04,7.82472613458529E-07,0.994703435054773
0.314491493777202,2.27E+18,1019,65037600000,1.27E-02,0,0,8.83002207505519E-07,5.38E-04,8.83002207505519E-07,0.986750733995585
0.370843617823834,2.40E+18,1134,99363000000,1.27E-02,0,0,8.33333333333333E-07,5.38E-04,8.33333333333333E-07,0.986750833333333
0.396625261316062,2.49E+18,1169,126462000000,1.27E-02,0,0,8.03212851405623E-07,5.38E-04,8.03212851405623E-07,0.986750893574297
0.370918833019689,2.42E+18,1123,84910200000,1.27E-02,0,0,8.25082508250825E-07,5.38E-04,8.25082508250825E-07,0.986750849834984
0.301346957004491,2.22E+18,998,52692500000,2.48E-02,0,0,9.02527075812274E-07,5.38E-04,9.02527075812274E-07,0.974620694945848
0.344312275042487,2.37E+18,1068,68650800000,2.48E-02,0,0,8.4530853761623E-07,5.38E-04,8.4530853761623E-07,0.974620809382925
0.339330358392401,2.37E+18,1049,76479400000,2.48E-02,0,0,8.424599831508E-07,5.38E-04,8.424599831508E-07,0.974620815080034
0.362741905658722,2.41E+18,1106,103578400000,2.48E-02,0,0,8.30909846281678E-07,5.38E-04,8.30909846281678E-07,0.974620838180307
0.76851821287772,4.83E+18,1167,177649000000,2.50E-03,0,0,4.13821642871922E-07,1.50E-04,4.13821642871922E-07,0.997349072356714
0.774653565456995,4.82E+18,1179,184273200000,2.50E-03,0,0,4.14765657403567E-07,1.50E-04,4.14765657403567E-07,0.997349070468685
0.780030634404145,4.87E+18,1175,154163200000,2.50E-03,0,0,4.10509031198686E-07,1.50E-04,4.10509031198686E-07,0.997349078981938
0.684458282279793,4.60E+18,1092,110804800000,2.50E-03,0,0,4.34782608695652E-07,1.50E-04,4.34782608695652E-07,0.997349030434783
0.727677042825561,4.73E+18,1130,164400600000,2.50E-03,0,0,4.23190859077444E-07,1.50E-04,4.23190859077444E-07,0.997349053618282
0.607195925007254,4.39E+18,1016,68048600000,6.21E-03,0,0,4.55996352029184E-07,3.00E-04,4.55996352029184E-07,0.993486088007296
0.656285013574439,4.51E+18,1067,70457400000,6.21E-03,0,0,4.43066016836509E-07,3.00E-04,4.43066016836509E-07,0.993486113867966
0.598284150633161,4.34E+18,1011,66242000000,6.21E-03,0,0,4.60511167395809E-07,3.00E-04,4.60511167395809E-07,0.993486078977665
