A_1,n_1,,A_1,Ea_1,,n_1,Ea_1,,A_1,A_0,,n_1,A_0,,Ea_1,A_0
,,,,,,,,,16.9637105144824,20.9109012131716,,2.04084832915757,20.8601131062417,,8278.05689265984,20.8092315803022
,,,,,,,,,17.6869066659106,20.9287348353553,,1.9330055980872,20.8294517606606,,7485.09122230363,20.8355432598063
,,,,,,,,,19.079142974033,20.9414731369151,,1.69292102218584,20.8022198530564,,7122.99531215967,20.8787928934915
,,,,,,,,,20.5393918213845,20.9516637781629,,1.38247778305795,20.787781590006,,7739.52267687068,20.9109830109102
,,,,,,,,,22.0014882080019,20.9584575389948,,0.955067490539233,20.7852921081899,,8968.65655505613,20.9439966190127
,,,,,,,,,23.3317164795097,20.9627036395147,,0.527008357322173,20.8032549020584,,10502.0272954082,20.960890912421
,,,,,,,,,25.1306423685566,20.9627036395147,,0.238747359568872,20.8246044640391,,11819.2213729877,20.9633820020593
,,,,,,,,,26.729687603265,20.9627036395147,,0.020223219372865,20.8527604789972,,12645.8851701879,20.9616537631428
,,,,,,,,,28.2653391469094,20.9567590987868,,-0.097392674716302,20.8851615359161,,13715.8536819595,20.9463518751361
,,,,,,,,,29.6020338058482,20.949116117851,,0.204142522323927,20.9353925005536,,14325.2811268638,20.9217429657644
,,,,,,,,,30.9451948522179,20.9295840554593,,0.483225127698589,20.9583574216952,,14506.2760974596,20.8996942755876
,,,,,,,,,31.3560413964909,20.9092027729636,,0.8484007832346,20.9625610129303,,14073.7108340099,20.8691923747104
,,,,,,,,,31.3652790928208,20.8922183708839,,1.18275650559933,20.9582476991862,,13365.3083876205,20.8370058956894
,,,,,,,,,30.848429983162,20.8624956672444,,1.44748351052316,20.9437192198506,,12413.6012266598,20.8183930657585
,,,,,,,,,29.9915181773582,20.8455112651646,,1.65008401858067,20.9274961373198,,11278.2498712948,20.8006352592915
,,,,,,,,,28.8014719476569,20.8285268630849,,1.82990751462345,20.8942331491355,,9807.61275072768,20.7956069936439
,,,,,,,,,27.0761012156369,20.8157885615251,,1.88547801693359,20.8575809545609,,7176.40366413876,20.8160572144229
,,,,,,,,,24.9505072901233,20.8038994800693,,1.82408146585291,20.8328775412206,,6781.88125457894,20.8448963675425
,,,,,,,,,23.1552764796083,20.7971057192374,,1.62275160416299,20.8090482505356,,6725.61174088668,20.8847428865612
,,,,,,,,,20.8302637845727,20.7843674176776,,1.30440061902404,20.7988720973918,,7250.05208601469,20.9152411490406
,,,,,,,,,19.3630866649738,20.7869150779896,,0.993524819430587,20.7980686847978,,8019.17474209453,20.9431864691206
,,,,,,,,,17.3587375037904,20.7971057192374,,0.744586271499764,20.8049251224737,,9430.57521830386,20.9643243470685
,,,,,,,,,16.4861216142257,20.8089948006932,,0.479886301605034,20.8186014236558,,10963.5220828466,20.9778276538027
,,,,,,,,,15.278061876681,20.825129982669,,0.308457182097068,20.83226309517,,12310.5994049858,20.9743833039621
,,,,,,,,,14.8033597565275,20.8404159445407,,0.121023325363316,20.8604142335721,,13075.9071787815,20.9718097439756
,,,,,,,,,14.595165175492,20.8557019064125,,0.034470679707308,20.8936625920885,,14023.799457458,20.95990369384
,,,,,,,,,14.7793417460697,20.884575389948,,0.212455793771444,20.9183477183441,,14603.0257509455,20.9386869839415
,,,,,,,,,15.3021953583429,20.9032582322357,,0.483603618105955,20.9464269275458,,14997.124284696,20.9064568441479
,,,,,,,,,16.2905133944398,20.9236395147314,,0.87206995120956,20.9514790395175,,14901.9641654951,20.8801803358216
,,,,,,,,,17.015557085134,20.9380762564991,,1.22205192039271,20.9446067530348,,14223.8688394749,20.8454494039958
,,,,,,,,,18.4087171628894,20.949116117851,,1.47131488867271,20.9275241775166,,13393.7080668475,20.8192020028513
,,,,,,,,,19.4696665863802,20.9584575389948,,1.66641317615563,20.9027805325896,,12073.9707344118,20.7963649931687
,,,,,,,,,20.5320016643205,20.9652512998267,,1.72959403915675,20.8712401877972,,10878.5349830703,20.7879348256539
,,,,,,,,,22.326770590019,20.9728942807626,,1.69950405177111,20.8397144726726,,9408.32173831257,20.7862975466804
,,,,,,,,,24.0576839398369,20.9754419410745,,1.53690186926352,20.8201399770603,,8306.45657188682,20.7914276874641
,,,,,,,,,25.8561479440674,20.9762911611785,,1.21077831325901,20.8099650430555,,7511.47749143615,20.8016321802665
,,,,,,,,,27.3885662939963,20.9762911611785,,0.860904484192245,20.8134286169241,,6166.0956725343,20.8186404768034
,,,,,,,,,28.7900402984486,20.9720450606586,,0.627429972905258,20.8228391507826,,5865.77966160426,20.8661264182326
,,,,,,,,,30.1938237269834,20.9635528596187,,0.362459652719551,20.8450372334999,,6269.09749420827,20.9076502385997
,,,,,,,,,31.065515846915,20.9533622183709,,0.237260432968504,20.8714742624831,,7069.3750222759,20.939833079223
,,,,,,,,,31.9399792757457,20.9380762564991,,0.166604384421892,20.8936418667257,,8358.91120329485,20.9660622883789
,,,,,,,,,32.3475926263032,20.9236395147314,,0.344697638602419,20.9149182803671,,9371.76244975546,20.9838249460428
