Temp_klip_ttl,k_klip_ttl,,temp_experimental,experimental_data,,temp_klip,k_klip,,T_original_low_b,k_original_low_b,,T_original_b,k_original_b,,T_original_high_b,k_original_high_b,,T_original_low_r,k_original_low_r,,T_original_r,k_original_r,,T_original_high_r,k_original_high_r
446.740425706772,583479552264.998,,1021.89244106768,850873624594.335,,2386.85429706748,4751475512344.35,,1256.34595659794,425300938381.271,,1577.62136667232,1197379332813.81,,1333.20007430201,1599175094717.33,,1219.80875309928,83167849426.8148,,1242.48701733983,464726441582.383,,1209.72952454793,2406091670868.29
453.125,562341325190.347,,1063.71451288887,986567792830.224,,2462.09858432943,5227941009477.62,,1292.88316009659,454125509298.158,,1605.33924518854,1239558491882.27,,1370.99718136958,1659005134470.78,,1251.72631017857,91587192132.9749,,1270.20489585605,486012821268.272,,1229.88798165064,2406462122286.26
465.92496712689,545983460973.38,,1079.60136897377,954104603744.528,,,,,1314.30152076822,467046470320.706,,1633.05712370476,1283223463684.4,,1392.41554204121,1686090978036.25,,1275.24451013173,97746521310.3446,,1297.92277437227,507876886073.209,,1267.68508871821,2448928247893.89
472.309541420118,526203637786.332,,1106.02824756761,922774911209.271,,,,,1353.35853140471,500207144138.302,,1660.77500222098,1329465832678.82,,1431.4725526777,1753160985950.37,,1307.16206721101,106970398484.213,,1325.64065288849,530724540834.78,,1289.10344938984,2449328861947.78
481.909516765286,514681385675.692,,1140.00676036429,1041532856929.44,,,,,1373.51698850742,516584321359.237,,1688.49288073721,1376297901093.49,,1452.89091334932,1783875347596.44,,1330.68026716417,113718748912.672,,1353.35853140471,555468114550.416,,1328.16046002633,2512143950115.97
485.094099276792,499709894439.416,,1129.31309321236,1113772055192.47,,,,,1411.31409557499,549233526824.127,,1716.21075925343,1425894309817.09,,1491.94792398582,1862829957153.16,,1362.9337985285,123654691066.203,,1381.07640992093,580002993253.44,,1348.31891712904,2536219497024.43
494.683801775148,481606464457.84,,1192.81442415908,994074125941.098,,,,,1431.4725526777,566152304975.14,,1743.92863776965,1476123189889.1,,1512.10638108852,1895447417345.47,,1386.11602419661,131475813341.595,,1408.79428843715,606569512454.083,,1388.63583133445,2599254568087.83
507.483768902038,467597084747.132,,960.611275212126,1142789608598.72,,,,,1469.26965974527,602122626417.687,,1771.64651628587,1529316912697.19,,1549.9034881561,1979321179504.81,,1418.36955556094,142695178429.994,,1436.51216695338,633361526294.626,,1408.79428843715,2630739944492.99
520.288872452334,457358137104.5,,989.673159433205,1105283665270.96,,,,,1490.6880204169,620304582680.625,,1799.36439480209,1583188981104.42,,1571.32184882772,2019780876341.92,,1441.55178122905,151294078963.578,,1464.2300454696,661336936252.005,,1446.59139550473,2704095971839
529.883711374096,444054113426.802,,973.617294241015,1230478902950.86,,,,,1527.22522391555,660621153405.215,,1827.08227331831,1638958759352.15,,1610.37885946422,2111377036705.93,,1470.78154402798,161576850405.538,,1491.94792398582,690008210489.71,,1468.00975617635,2742876935583.28
539.483686719264,434330684932.095,,965.466445930529,1369927673663.67,,,,,1548.64358458718,680214842393.09,,1854.80015183453,1698020441016.69,,1630.53731656692,2154740040445.29,,1496.98753826149,172878667511.781,,1519.66580250204,720485689403.436,,1507.06676681285,2826451069027.1
552.288790269559,424820169816.259,,999.829070334676,1307343338126.63,,,,,1587.70059522367,722553280498.453,,1882.51803035075,1756461196861.83,,1668.3344236345,2248680303730.94,,1526.21730106042,185496765076.858,,1547.38368101826,752309350444.872,,1528.48512748447,2860641486294.75
568.304158448389,418595805092.786,,1015.65446856239,1298734401456.59,,,,,1607.85905232638,745277163469.894,,1910.23590886698,1815493024633.76,,1689.75278430612,2293450049820.61,,1552.42329529394,196464249065.877,,1575.10155953448,785538654120.124,,1567.54213812097,2956653716418.47
577.909270216962,412462638290.133,,1041.97379590614,1316521575991.57,,,,,1645.65615939395,789041195916.932,,1937.9537873832,1872111649074.1,,1728.80979494262,2398707195857.04,,1578.62928952746,207527671281.117,,1602.8194380507,818953830253.76,,1587.70059522367,3017848788039.42
590.72464661407,409429835775.23,,1070.71302637694,1466084489576.45,,,,,1667.07452006558,808640668351.641,,1965.67166589942,1932006253864.16,,1748.96825204532,2453721056389.87,,1607.85905232638,222744400377.267,,1630.53731656692,853790418293.971,,1625.49770229125,3107340346878.81
600.334894806049,406419333197.924,,1025.79501499956,1546506173551.24,,,,,1703.61172356424,857613783270.146,,1993.38954441564,1993817071121.97,,1786.7653591129,2560696003594.72,,1631.16726835138,234080450699.394,,1658.25519508315,889413083063.682,,1646.91606296287,3160955073809.52
609.950279421433,406419333197.924,,994.052031758348,1631483658253.16,,,,,1725.03008423586,879145707857.06,,2021.10742293186,2057605406373.02,,1808.18371978452,2615424770215.77,,1663.29480935882,250572753384.022,,1685.97307359937,926522030904.865,,1685.97307359937,3270881311029.42
