Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
NH + NO2 <=> HNO + NO,1.00E-09,1.00E-09,1.00E-09
N + OH <=> H + NO,1.00E-09,1.00E-09,1.00E-09
N + O2 <=> NO + O,1.00E-09,1.00E-09,1.00E-09
N + NO <=> N2 + O,1.00E-09,1.00E-09,1.00E-09
NNH <=> H + N2,1.00E-09,1.00E-09,1.00E-09
H + NNH <=> H2 + N2,1.00E-09,1.00E-09,1.00E-09
NNH + O <=> H + N2O,1.00E-09,1.00E-09,1.00E-09
NNH + O <=> N2 + OH,1.00E-09,1.00E-09,1.00E-09
NNH + O <=> NH + NO,1.00E-09,1.00E-09,1.00E-09
NNH + OH <=> H2O + N2,1.00E-09,1.00E-09,1.00E-09
NNH + O2 <=> HO2 + N2,1.00E-09,1.00E-09,1.00E-09
NH + NNH <=> N2 + NH2,1.00E-09,1.00E-09,1.00E-09
NH2 + NNH <=> N2 + NH3,1.00E-09,1.00E-09,1.00E-09
NNH + NO <=> HNO + N2,1.00E-09,1.00E-09,1.00E-09
NH2OH (+M) <=> NH2 + OH (+M),1.00E-09,1.00E-09,1.00E-09
H + NH2OH <=> H2 + HNOH,1.00E-09,1.00E-09,1.00E-09
H + NH2OH <=> H2 + H2NO,1.00E-09,1.00E-09,1.00E-09
NH2OH + O <=> HNOH + OH,1.00E-09,1.00E-09,1.00E-09
NH2OH + O <=> H2NO + OH,1.00E-09,1.00E-09,1.00E-09
NH2OH + OH <=> H2O + HNOH,1.00E-09,1.00E-09,1.00E-09
NH2OH + OH <=> H2NO + H2O,1.00E-09,1.00E-09,1.00E-09
NH2 + NH2OH <=> HNOH + NH3,1.00E-09,1.00E-09,1.00E-09
NH2 + NH2OH <=> H2NO + NH3,1.00E-09,1.00E-09,1.00E-09
NH + NH2OH <=> HNOH + NH2,1.00E-09,1.00E-09,1.00E-09
NH + NH2OH <=> H2NO + NH2,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2OH <=> H2O2 + HNOH,1.00E-09,1.00E-09,1.00E-09
HO2 + NH2OH <=> H2NO + H2O2,1.00E-09,1.00E-09,1.00E-09
H2NO + M <=> H + HNO + M,1.00E-09,1.00E-09,1.00E-09
H2NO + M <=> HNOH + M,1.00E-09,1.00E-09,1.00E-09
H + H2NO <=> H2 + HNO,1.00E-09,1.00E-09,1.00E-09
H + H2NO <=> NH2 + OH,1.00E-09,1.00E-09,1.00E-09
H2NO + O <=> HNO + OH,1.00E-09,1.00E-09,1.00E-09
H2NO + OH <=> H2O + HNO,1.00E-09,1.00E-09,1.00E-09
H2NO + HO2 <=> H2O2 + HNO,1.00E-09,1.00E-09,1.00E-09
H2NO + O2 <=> HNO + HO2,1.00E-09,1.00E-09,1.00E-09
H2NO + NH2 <=> HNO + NH3,1.00E-09,1.00E-09,1.00E-09
H2NO + NO <=> 2 HNO,1.00E-09,1.00E-09,1.00E-09
H2NO + NO2 <=> HNO + HONO,1.00E-09,1.00E-09,1.00E-09
HNOH + M <=> H + HNO + M,1.00E-09,1.00E-09,1.00E-09
H + HNOH <=> NH2 + OH,1.00E-09,1.00E-09,1.00E-09
H + HNOH <=> H2 + HNO,1.00E-09,1.00E-09,1.00E-09
HNOH + O <=> HNO + OH,1.00E-09,1.00E-09,1.00E-09
HNOH + O <=> HNO + OH,1.00E-09,1.00E-09,1.00E-09
HNOH + OH <=> H2O + HNO,1.00E-09,1.00E-09,1.00E-09
HNOH + HO2 <=> H2O2 + HNO,1.00E-09,1.00E-09,1.00E-09
HNOH + HO2 <=> NH2OH + O2,1.00E-09,1.00E-09,1.00E-09
HNOH + O2 <=> HNO + HO2,1.00E-09,1.00E-09,1.00E-09
HNOH + NH2 <=> HNO + NH3,1.00E-09,1.00E-09,1.00E-09
HNOH + NO2 <=> HNO + HONO,1.00E-09,1.00E-09,1.00E-09
H + NO (+M) <=> HNO (+M),1.00E-09,1.00E-09,1.00E-09
H + HNO <=> H2 + NO,1.00E-09,1.00E-09,1.00E-09
HNO + O <=> NO + OH,1.00E-09,1.00E-09,1.00E-09
HNO + OH <=> H2O + NO,1.00E-09,1.00E-09,1.00E-09
HNO + HO2 <=> HNO2 + OH,1.00E-09,1.00E-09,1.00E-09
HNO + O2 <=> HO2 + NO,1.00E-09,1.00E-09,1.00E-09
2 HNO <=> H2O + N2O,1.00E-09,1.00E-09,1.00E-09
HNO + NO2 <=> HONO + NO,1.00E-09,1.00E-09,1.00E-09
HO2 + NO <=> NO2 + OH,1.00E-09,1.00E-09,1.00E-09
NO + O (+M) <=> NO2 (+M),1.00E-09,1.00E-09,1.00E-09
H + NO2 <=> NO + OH,1.00E-09,1.00E-09,1.00E-09
NO2 + O <=> NO + O2,1.00E-09,1.00E-09,1.00E-09
HO2 + NO2 <=> HONO + O2,1.00E-09,1.00E-09,1.00E-09
HO2 + NO2 <=> HNO2 + O2,1.00E-09,1.00E-09,1.00E-09
2 NO2 <=> 2 NO + O2,1.00E-09,1.00E-09,1.00E-09
2 NO2 <=> NO + NO3,1.00E-09,1.00E-09,1.00E-09
NO + OH (+M) <=> HONO (+M),1.00E-09,1.00E-09,1.00E-09
H2 + NO2 <=> H + HONO,1.00E-09,1.00E-09,1.00E-09
H2 + NO2 <=> H + HONO,1.00E-09,1.00E-09,1.00E-09
H + HONO <=> HNO + OH,1.00E-09,1.00E-09,1.00E-09
H + HONO <=> H2O + NO,1.00E-09,1.00E-09,1.00E-09
HONO + O <=> NO2 + OH,1.00E-09,1.00E-09,1.00E-09
HONO + OH <=> H2O + NO2,1.00E-09,1.00E-09,1.00E-09
HONO + NO2 <=> HONO2 + NO,1.00E-09,1.00E-09,1.00E-09
2 HONO <=> H2O + NO + NO2,1.00E-09,1.00E-09,1.00E-09
HNO2 (+M) <=> HONO (+M),1.00E-09,1.00E-09,1.00E-09
H2 + NO2 <=> H + HNO2,1.00E-09,1.00E-09,1.00E-09
HNO2 + O <=> NO2 + OH,1.00E-09,1.00E-09,1.00E-09
HNO2 + OH <=> H2O + NO2,1.00E-09,1.00E-09,1.00E-09
NO2 + O (+M) <=> NO3 (+M),1.00E-09,1.00E-09,1.00E-09
H + NO3 <=> NO2 + OH,1.00E-09,1.00E-09,1.00E-09
NO3 + O <=> NO2 + O2,1.00E-09,1.00E-09,1.00E-09
NO3 + OH <=> HO2 + NO2,1.00E-09,1.00E-09,1.00E-09
HO2 + NO3 <=> NO2 + O2 + OH,1.00E-09,1.00E-09,1.00E-09
NO2 + NO3 <=> NO + NO2 + O2,1.00E-09,1.00E-09,1.00E-09
NO2 + OH (+M) <=> HONO2 (+M),1.00E-09,1.00E-09,1.00E-09
H + HONO2 <=> H2 + NO3,1.00E-09,1.00E-09,1.00E-09
H + HONO2 <=> H2O + NO2,1.00E-09,1.00E-09,1.00E-09
H + HONO2 <=> HONO + OH,1.00E-09,1.00E-09,1.00E-09
HONO2 + OH <=> H2O + NO3,1.00E-09,1.00E-09,1.00E-09
N2O (+M) <=> N2 + O (+M),1.00E-09,1.00E-09,1.00E-09
H + N2O <=> N2 + OH,1.00E-09,1.00E-09,1.00E-09
N2O + O <=> 2 NO,1.00E-09,1.00E-09,1.00E-09
N2O + O <=> N2 + O2,1.00E-09,1.00E-09,1.00E-09
N2O + OH <=> HO2 + N2,1.00E-09,1.00E-09,1.00E-09
N2O + OH <=> HNO + NO,1.00E-09,1.00E-09,1.00E-09
N2O + NO <=> N2 + NO2,1.00E-09,1.00E-09,1.00E-09
2 NH2 <=> H2 + N2H2,1.00E-09,1.00E-09,1.00E-09
2 NH2 <=> H2 + H2NN,1.00E-09,1.00E-09,1.00E-09
NH + NH2 <=> H + N2H2,1.00E-09,1.00E-09,1.00E-09
HNOH + NH2 <=> N2H3 + OH,1.00E-09,1.00E-09,1.00E-09
HNOH + NH2 <=> H2NN + H2O,1.00E-09,1.00E-09,1.00E-09
2 NH2 (+M) <=> N2H4 (+M),1.00E-09,1.00E-09,1.00E-09
N2H4 <=> H2 + H2NN,1.00E-09,1.00E-09,1.00E-09
H + N2H4 <=> H2 + N2H3,1.00E-09,1.00E-09,1.00E-09
H + N2H4 <=> NH2 + NH3,1.00E-09,1.00E-09,1.00E-09
N2H4 + O <=> N2H3 + OH,1.00E-09,1.00E-09,1.00E-09
N2H4 + O <=> H2O + N2H2,1.00E-09,1.00E-09,1.00E-09
N2H4 + OH <=> H2O + N2H3,1.00E-09,1.00E-09,1.00E-09
N2H4 + NH2 <=> N2H3 + NH3,1.00E-09,1.00E-09,1.00E-09
N2H4 + NO <=> HNO + N2H3,1.00E-09,1.00E-09,1.00E-09
N2H4 + NO2 <=> HONO + N2H3,1.00E-09,1.00E-09,1.00E-09
N2H4 + NO2 <=> HNO2 + N2H3,1.00E-09,1.00E-09,1.00E-09
H + N2H2 <=> N2H3,1.00E-09,1.00E-09,1.00E-09
H + N2H3 <=> H2 + N2H2,1.00E-09,1.00E-09,1.00E-09
N2H3 + O <=> N2H2 + OH,1.00E-09,1.00E-09,1.00E-09
N2H3 + O <=> HNO + NH2,1.00E-09,1.00E-09,1.00E-09
N2H3 + O => H + NH2 + NO,1.00E-09,1.00E-09,1.00E-09
N2H3 + OH <=> H2O + N2H2,1.00E-09,1.00E-09,1.00E-09
N2H3 + OH <=> H2NN + H2O,1.00E-09,1.00E-09,1.00E-09
N2H3 + OH <=> HNO + NH3,1.00E-09,1.00E-09,1.00E-09
HO2 + N2H3 <=> H2O2 + N2H2,1.00E-09,1.00E-09,1.00E-09
HO2 + N2H3 <=> N2H4 + O2,1.00E-09,1.00E-09,1.00E-09
N2H3 + NH2 <=> N2H2 + NH3,1.00E-09,1.00E-09,1.00E-09
N2H3 + NH2 <=> H2NN + NH3,1.00E-09,1.00E-09,1.00E-09
N2H3 + NH <=> N2H2 + NH2,1.00E-09,1.00E-09,1.00E-09
N2H2 + M <=> H + NNH + M,1.00E-09,1.00E-09,1.00E-09
H + N2H2 <=> H2 + NNH,1.00E-09,1.00E-09,1.00E-09
N2H2 + O <=> NNH + OH,1.00E-09,1.00E-09,1.00E-09
N2H2 + O <=> NH2 + NO,1.00E-09,1.00E-09,1.00E-09
N2H2 + OH <=> H2O + NNH,1.00E-09,1.00E-09,1.00E-09
N2H2 + NH2 <=> NH3 + NNH,1.00E-09,1.00E-09,1.00E-09
N2H2 + NH <=> NH2 + NNH,1.00E-09,1.00E-09,1.00E-09
N2H2 + NO <=> N2O + NH2,1.00E-09,1.00E-09,1.00E-09
H2NN <=> H + NNH,1.00E-09,1.00E-09,1.00E-09
H2NN <=> H2 + N2,1.00E-09,1.00E-09,1.00E-09
H2NN <=> N2H2,1.00E-09,1.00E-09,1.00E-09
H + H2NN <=> H2 + NNH,1.00E-09,1.00E-09,1.00E-09
H + H2NN <=> H + N2H2,1.00E-09,1.00E-09,1.00E-09
H2NN + O <=> NNH + OH,1.00E-09,1.00E-09,1.00E-09
H2NN + O <=> NH2 + NO,1.00E-09,1.00E-09,1.00E-09
H2NN + OH <=> H2O + NNH,1.00E-09,1.00E-09,1.00E-09
H2NN + OH => H + NH2 + NO,1.00E-09,1.00E-09,1.00E-09
H2NN + HO2 => NH2 + NO + OH,1.00E-09,1.00E-09,1.00E-09
H2NN + HO2 <=> H2O2 + NNH,1.00E-09,1.00E-09,1.00E-09
H2NN + O2 <=> NH2 + NO2,1.00E-09,1.00E-09,1.00E-09
H2NN + NH2 <=> NH3 + NNH,1.00E-09,1.00E-09,1.00E-09
HCN + M <=> CN + H + M,1.00E-09,1.00E-09,1.00E-09
HCN + N2 <=> CN + H + N2,1.00E-09,1.00E-09,1.00E-09
HCN + M <=> HNC + M,1.00E-09,1.00E-09,1.00E-09
CN + H2 <=> H + HCN,1.00E-09,1.00E-09,1.00E-09
HCN + O <=> H + NCO,1.00E-09,1.00E-09,1.00E-09
HCN + O <=> CO + NH,1.00E-09,1.00E-09,1.00E-09
HCN + O <=> CN + OH,1.00E-09,1.00E-09,1.00E-09
HCN + OH <=> CN + H2O,1.00E-09,1.00E-09,1.00E-09
HCN + OH <=> H + HOCN,1.00E-09,1.00E-09,1.00E-09
HCN + OH <=> H + HNCO,1.00E-09,1.00E-09,1.00E-09
HCN + OH <=> CO + NH2,1.00E-09,1.00E-09,1.00E-09
HCN + O2 <=> CN + HO2,1.00E-09,1.00E-09,1.00E-09
CN + HCN <=> H + NCCN,1.00E-09,1.00E-09,1.00E-09
H + HNC <=> H + HCN,1.00E-09,1.00E-09,1.00E-09
HNC + O <=> CO + NH,1.00E-09,1.00E-09,1.00E-09
HNC + OH <=> H + HNCO,1.00E-09,1.00E-09,1.00E-09
HNC + OH <=> CN + H2O,1.00E-09,1.00E-09,1.00E-09
CN + O <=> CO + N,1.00E-09,1.00E-09,1.00E-09
CN + OH <=> H + NCO,1.00E-09,1.00E-09,1.00E-09
CN + O2 <=> NCO + O,1.00E-09,1.00E-09,1.00E-09
CN + O2 <=> CO + NO,1.00E-09,1.00E-09,1.00E-09
CN + NO <=> N + NCO,1.00E-09,1.00E-09,1.00E-09
CN + NO2 <=> NCO + NO,1.00E-09,1.00E-09,1.00E-09
CN + NO2 <=> CO + N2O,1.00E-09,1.00E-09,1.00E-09
CN + NO2 <=> CO2 + N2,1.00E-09,1.00E-09,1.00E-09
CN + HNO <=> HCN + NO,1.00E-09,1.00E-09,1.00E-09
CN + HONO <=> HCN + NO2,1.00E-09,1.00E-09,1.00E-09
CN + HNCO <=> HCN + NCO,1.00E-09,1.00E-09,1.00E-09
CN + HNCO <=> CO + HNCN,1.00E-09,1.00E-09,1.00E-09
CN + NCO <=> CO + NCN,1.00E-09,1.00E-09,1.00E-09
HNCO + M <=> CO + NH + M,1.00E-09,1.00E-09,1.00E-09
H + HNCO <=> CO + NH2,1.00E-09,1.00E-09,1.00E-09
H + HNCO <=> H2 + NCO,1.00E-09,1.00E-09,1.00E-09
HNCO + O <=> NCO + OH,1.00E-09,1.00E-09,1.00E-09
HNCO + O <=> CO2 + NH,1.00E-09,1.00E-09,1.00E-09
HNCO + O <=> CO + HNO,1.00E-09,1.00E-09,1.00E-09
HNCO + OH <=> H2O + NCO,1.00E-09,1.00E-09,1.00E-09
HNCO + HO2 <=> H2O2 + NCO,1.00E-09,1.00E-09,1.00E-09
HNCO + O2 <=> CO2 + HNO,1.00E-09,1.00E-09,1.00E-09
H2O + HNCO <=> CO2 + NH3,1.00E-09,1.00E-09,1.00E-09
HNCO + NH <=> NCO + NH2,1.00E-09,1.00E-09,1.00E-09
2 HNCO <=> CO2 + HNCNH,1.00E-09,1.00E-09,1.00E-09
H + HOCN <=> H + HNCO,1.00E-09,1.00E-09,1.00E-09
H + HOCN <=> CO + NH2,1.00E-09,1.00E-09,1.00E-09
H + HOCN <=> H2 + NCO,1.00E-09,1.00E-09,1.00E-09
HOCN + O <=> NCO + OH,1.00E-09,1.00E-09,1.00E-09
HOCN + OH <=> H2O + NCO,1.00E-09,1.00E-09,1.00E-09
HOCN + NH2 <=> NCO + NH3,1.00E-09,1.00E-09,1.00E-09
HCNO <=> HCN + O,1.00E-09,1.00E-09,1.00E-09
H + HCNO <=> HCN + OH,1.00E-09,1.00E-09,1.00E-09
HCNO + O <=> HCO + NO,1.00E-09,1.00E-09,1.00E-09
HCNO + O <=> NCO + OH,1.00E-09,1.00E-09,1.00E-09
HCNO + OH <=> CO + H2NO,1.00E-09,1.00E-09,1.00E-09
HCNO + OH <=> HCO + HNO,1.00E-09,1.00E-09,1.00E-09
CN + HCNO <=> HCN + NCO,1.00E-09,1.00E-09,1.00E-09
HCNO + NCO <=> CO + HCN + NO,1.00E-09,1.00E-09,1.00E-09
NCO + M <=> CO + N + M,1.00E-09,1.00E-09,1.00E-09
H + NCO <=> CO + NH,1.00E-09,1.00E-09,1.00E-09
NCO + O <=> CO + NO,1.00E-09,1.00E-09,1.00E-09
NCO + OH <=> CO + HON,1.00E-09,1.00E-09,1.00E-09
NCO + OH <=> CO + H + NO,1.00E-09,1.00E-09,1.00E-09
HO2 + NCO <=> HNCO + O2,1.00E-09,1.00E-09,1.00E-09
NCO + O2 <=> CO2 + NO,1.00E-09,1.00E-09,1.00E-09
NCO + NO <=> CO + N2O,1.00E-09,1.00E-09,1.00E-09
NCO + NO <=> CO2 + N2,1.00E-09,1.00E-09,1.00E-09
NCO + NO2 <=> CO + 2 NO,1.00E-09,1.00E-09,1.00E-09
NCO + NO2 <=> CO2 + N2O,1.00E-09,1.00E-09,1.00E-09
HNO + NCO <=> HNCO + NO,1.00E-09,1.00E-09,1.00E-09
HONO + NCO <=> HNCO + NO2,1.00E-09,1.00E-09,1.00E-09
NCO + NH3 <=> HNCO + NH2,1.00E-09,1.00E-09,1.00E-09
N + NCO <=> CO + N2,1.00E-09,1.00E-09,1.00E-09
2 NCO <=> 2 CO + N2,1.00E-09,1.00E-09,1.00E-09
CH3CN <=> CH2CN + H,1.00E-09,1.00E-09,1.00E-09
CH3CN + H <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH3CN + H <=> CH3 + HNC,1.00E-09,1.00E-09,1.00E-09
CH3CN + H <=> CH2CN + H2,1.00E-09,1.00E-09,1.00E-09
CH3CN + O <=> CH3 + NCO,1.00E-09,1.00E-09,1.00E-09
CH3CN + O <=> CH2CN + OH,1.00E-09,1.00E-09,1.00E-09
CH3CN + OH <=> CH2CN + H2O,1.00E-09,1.00E-09,1.00E-09
CH3 + CH3CN <=> CH2CN + CH4,1.00E-09,1.00E-09,1.00E-09
CH3CN + CN <=> CH2CN + HCN,1.00E-09,1.00E-09,1.00E-09
CH2CN + O <=> CH2O + CN,1.00E-09,1.00E-09,1.00E-09
CH2OH + CN <=> CH2CN + OH,1.00E-09,1.00E-09,1.00E-09
CO + NO2 <=> CO2 + NO,1.00E-09,1.00E-09,1.00E-09
CO + N2O <=> CO2 + N2,1.00E-09,1.00E-09,1.00E-09
CO2 + N <=> CO + NO,1.00E-09,1.00E-09,1.00E-09
CN + CO2 <=> CO + NCO,1.00E-09,1.00E-09,1.00E-09
HOCO + NO <=> CO + HONO,1.00E-09,1.00E-09,1.00E-09
CH2O + NO2 <=> HCO + HONO,1.00E-09,1.00E-09,1.00E-09
CH2O + NO2 <=> HCO + HNO2,1.00E-09,1.00E-09,1.00E-09
CH2O + CN <=> HCN + HCO,1.00E-09,1.00E-09,1.00E-09
CH2O + NCO <=> HCO + HNCO,1.00E-09,1.00E-09,1.00E-09
HCO + NO <=> CO + HNO,1.00E-09,1.00E-09,1.00E-09
HCO + HNO <=> CH2O + NO,1.00E-09,1.00E-09,1.00E-09
HCO + NO2 <=> CO2 + H + NO,1.00E-09,1.00E-09,1.00E-09
HCO + NO2 <=> CO + HONO,1.00E-09,1.00E-09,1.00E-09
HCO + NO2 <=> CO + NO + OH,1.00E-09,1.00E-09,1.00E-09
HCO + NCO <=> CO + HNCO,1.00E-09,1.00E-09,1.00E-09
CH4 + NH2 <=> CH3 + NH3,1.00E-09,1.00E-09,1.00E-09
CH4 + NO2 <=> CH3 + HONO,1.00E-09,1.00E-09,1.00E-09
CH4 + NO2 <=> CH3 + HONO,1.00E-09,1.00E-09,1.00E-09
CH4 + NO2 <=> CH3 + HNO2,1.00E-09,1.00E-09,1.00E-09
CH4 + CN <=> CH3 + HCN,1.00E-09,1.00E-09,1.00E-09
CH4 + NCO <=> CH3 + HNCO,1.00E-09,1.00E-09,1.00E-09
CH3 + NH2 <=> CH4 + NH,1.00E-09,1.00E-09,1.00E-09
CH3 + NH2 <=> CH2 + NH3,1.00E-09,1.00E-09,1.00E-09
CH3 + NH <=> CH2NH + H,1.00E-09,1.00E-09,1.00E-09
CH3 + NH <=> CH4 + N,1.00E-09,1.00E-09,1.00E-09
CH3 + N <=> H + H2CN,1.00E-09,1.00E-09,1.00E-09
CH3 + H2NO <=> CH3O + NH2,1.00E-09,1.00E-09,1.00E-09
CH3 + H2NO <=> CH4 + HNO,1.00E-09,1.00E-09,1.00E-09
CH3 + HNO <=> CH4 + NO,1.00E-09,1.00E-09,1.00E-09
CH3 + HNO <=> CH3NO + H,1.00E-09,1.00E-09,1.00E-09
CH3 + NO <=> H2O + HCN,1.00E-09,1.00E-09,1.00E-09
CH3 + NO <=> H2CN + OH,1.00E-09,1.00E-09,1.00E-09
CH3 + NO2 <=> CH3O + NO,1.00E-09,1.00E-09,1.00E-09
CH3 + CN <=> CH2CN + H,1.00E-09,1.00E-09,1.00E-09
CH3 + HOCN <=> CH3CN + OH,1.00E-09,1.00E-09,1.00E-09
CH2 + N2 <=> HCN + NH,1.00E-09,1.00E-09,1.00E-09
CH2 + N <=> H + HCN,1.00E-09,1.00E-09,1.00E-09
CH2 + NO <=> H + HCNO,1.00E-09,1.00E-09,1.00E-09
CH2 + NO <=> HCN + OH,1.00E-09,1.00E-09,1.00E-09
CH2 + NO2 <=> CH2O + NO,1.00E-09,1.00E-09,1.00E-09
CH2(S) + NH3 <=> CH2NH2 + H,1.00E-09,1.00E-09,1.00E-09
CH2(S) + NO <=> HCN + OH,1.00E-09,1.00E-09,1.00E-09
CH2(S) + NO <=> CH2 + NO,1.00E-09,1.00E-09,1.00E-09
CH2(S) + N2O <=> CH2O + N2,1.00E-09,1.00E-09,1.00E-09
CH + N2 <=> H + NCN,1.00E-09,1.00E-09,1.00E-09
CH + N2 <=> HNCN,1.00E-09,1.00E-09,1.00E-09
CH + NH3 <=> 2 H + H2CN,1.00E-09,1.00E-09,1.00E-09
CH + N <=> CN + H,1.00E-09,1.00E-09,1.00E-09
CH + NO <=> CO + NH,1.00E-09,1.00E-09,1.00E-09
CH + NO <=> H + NCO,1.00E-09,1.00E-09,1.00E-09
CH + NO <=> HCN + O,1.00E-09,1.00E-09,1.00E-09
CH + NO <=> CN + OH,1.00E-09,1.00E-09,1.00E-09
CH + NO <=> HCO + N,1.00E-09,1.00E-09,1.00E-09
CH + NO2 <=> HCO + NO,1.00E-09,1.00E-09,1.00E-09
CN + N <=> C + N2,1.00E-09,1.00E-09,1.00E-09
CH + N2O <=> HCN + NO,1.00E-09,1.00E-09,1.00E-09
C + NO <=> CN + O,1.00E-09,1.00E-09,1.00E-09
C + NO <=> CO + N,1.00E-09,1.00E-09,1.00E-09
C + N2O <=> CN + NO,1.00E-09,1.00E-09,1.00E-09
CH3OH + NO2 <=> CH2OH + HONO,1.00E-09,1.00E-09,1.00E-09
CH3OH + NO2 <=> CH2OH + HNO2,1.00E-09,1.00E-09,1.00E-09
CH3O + HNO <=> CH3OH + NO,1.00E-09,1.00E-09,1.00E-09
CH3O + NO <=> CH2O + HNO,1.00E-09,1.00E-09,1.00E-09
CH3O + NO <=> CH2O + HNO,1.00E-09,1.00E-09,1.00E-09
CH3O + NO2 <=> CH2O + HONO,1.00E-09,1.00E-09,1.00E-09
CH2OH + HNO <=> CH3OH + NO,1.00E-09,1.00E-09,1.00E-09
CH2OH + NO <=> H2O + HNCO,1.00E-09,1.00E-09,1.00E-09
CH2OH + NO2 <=> CH2O + HONO,1.00E-09,1.00E-09,1.00E-09
CH3OO + NO <=> CH3O + NO2,1.00E-09,1.00E-09,1.00E-09
C2H6 + NH2 <=> C2H5 + NH3,1.00E-09,1.00E-09,1.00E-09
C2H6 + NO2 <=> C2H5 + HONO,1.00E-09,1.00E-09,1.00E-09
C2H6 + NO2 <=> C2H5 + HONO,1.00E-09,1.00E-09,1.00E-09
C2H6 + NO2 <=> C2H5 + HNO2,1.00E-09,1.00E-09,1.00E-09
C2H6 + CN <=> C2H5 + HCN,1.00E-09,1.00E-09,1.00E-09
C2H6 + NCO <=> C2H5 + HNCO,1.00E-09,1.00E-09,1.00E-09
C2H5 + N <=> C2H4 + NH,1.00E-09,1.00E-09,1.00E-09
C2H5 + N <=> CH3 + H2CN,1.00E-09,1.00E-09,1.00E-09
C2H5 + NO2 <=> CH3CH2O + NO,1.00E-09,1.00E-09,1.00E-09
C2H4 + NH2 <=> C2H3 + NH3,1.00E-09,1.00E-09,1.00E-09
C2H3 + NO <=> CH2O + HCN,1.00E-09,1.00E-09,1.00E-09
C2H3 + HONO <=> C2H4 + NO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + HNO2 <=> C2H4 + NO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + NO2 <=> CH2CHO + NO,1.00E-09,1.00E-09,1.00E-09
C2H2 + NCO <=> HCCO + HCN,1.00E-09,1.00E-09,1.00E-09
C2H + NH3 <=> C2H2 + NH2,1.00E-09,1.00E-09,1.00E-09
C2H + NO <=> CO + HCN,1.00E-09,1.00E-09,1.00E-09
C2H + NO <=> CN + HCO,1.00E-09,1.00E-09,1.00E-09
C2H + NO2 <=> HCCO + NO,1.00E-09,1.00E-09,1.00E-09
C2 + N2 <=> 2 CN,1.00E-09,1.00E-09,1.00E-09
C2 + NO <=> C2O + N,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + NO <=> CH3CHO + HNO,1.00E-09,1.00E-09,1.00E-09
CH3CH2O + NO2 <=> CH3CHO + HONO,1.00E-09,1.00E-09,1.00E-09
CH2CH2OH + NO2 => CH2O + CH2OH + NO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + NO <=> HCN + HOCHO,1.00E-09,1.00E-09,1.00E-09
CH2CHO + NO2 <=> CH2CO + HONO,1.00E-09,1.00E-09,1.00E-09
CH3CO + NO2 => CH3 + CO2 + NO,1.00E-09,1.00E-09,1.00E-09
HCCO + N <=> CO + HCN,1.00E-09,1.00E-09,1.00E-09
HCCO + NO <=> CO + HCNO,1.00E-09,1.00E-09,1.00E-09
HCCO + NO <=> CO2 + HCN,1.00E-09,1.00E-09,1.00E-09
HCCO + NO2 <=> CO2 + HCNO,1.00E-09,1.00E-09,1.00E-09
C2O + NO <=> CO + NCO,1.00E-09,1.00E-09,1.00E-09
C2O + NO2 <=> CO2 + NCO,1.00E-09,1.00E-09,1.00E-09
NCN + M <=> C + N2 + M,1.00E-09,1.00E-09,1.00E-09
H + NCN <=> HNCN,1.00E-09,1.00E-09,1.00E-09
H + NCN <=> HCN + N,1.00E-09,1.00E-09,1.00E-09
H + NCN <=> HNC + N,1.00E-09,1.00E-09,1.00E-09
NCN + O <=> CN + NO,1.00E-09,1.00E-09,1.00E-09
NCN + OH <=> NCNOH,1.00E-09,1.00E-09,1.00E-09
NCN + OH <=> NCO + NH,1.00E-09,1.00E-09,1.00E-09
NCN + OH <=> HCN + NO,1.00E-09,1.00E-09,1.00E-09
NCN + O2 <=> NCO + NO,1.00E-09,1.00E-09,1.00E-09
NCN + NO <=> CN + N2O,1.00E-09,1.00E-09,1.00E-09
2 NCN <=> 2 CN + N2,1.00E-09,1.00E-09,1.00E-09
H2 + NCN <=> H + HNCN,1.00E-09,1.00E-09,1.00E-09
HNCN + O <=> HNC + NO,1.00E-09,1.00E-09,1.00E-09
HNCN + O <=> NCO + NH,1.00E-09,1.00E-09,1.00E-09
HNCN + O <=> CN + HNO,1.00E-09,1.00E-09,1.00E-09
HNCN + OH <=> H2O + NCN,1.00E-09,1.00E-09,1.00E-09
HNCN + O2 <=> HO2 + NCN,1.00E-09,1.00E-09,1.00E-09
NCNOH <=> NCO + NH,1.00E-09,1.00E-09,1.00E-09
NCNOH => H + NCNO,1.00E-09,1.00E-09,1.00E-09
NCNOH <=> HCN + NO,1.00E-09,1.00E-09,1.00E-09
H + NCNOH <=> HNCN + OH,1.00E-09,1.00E-09,1.00E-09
NCNOH + O => NCNO + OH,1.00E-09,1.00E-09,1.00E-09
NCNOH + O <=> CN + HONO,1.00E-09,1.00E-09,1.00E-09
NCNOH + OH => H2O + NCNO,1.00E-09,1.00E-09,1.00E-09
H + NCNO => HNC + NO,1.00E-09,1.00E-09,1.00E-09
NCNO + O => NCO + NO,1.00E-09,1.00E-09,1.00E-09
