Reaction,Uncertainty A (unit),Uncertainty N (unit),Uncertainty Ea (unit)
C2H5 + CH3 <=> C2H4 + CH4,1.00E-09,1.00E-09,1.00E-09
C2H5 + CH3OO <=> CH3CH2O + CH3O,1.00E-09,1.00E-09,1.00E-09
2 C2H5 <=> C2H4 + C2H6,1.00E-09,1.00E-09,1.00E-09
C2H3 + H (+M) <=> C2H4 (+M),1.00E-09,1.00E-09,1.00E-09
C2H4 (+M) <=> H2 + H2CC (+M),1.00E-09,1.00E-09,1.00E-09
C2H4 + H <=> C2H3 + H2,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH3 + HCO,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH3 + CO + H,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH3CO + H,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH2CHO + H,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH2 + CH2O,1.00E-09,1.00E-09,1.00E-09
C2H4 + O <=> CH2CO + H2,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> C2H3 + H2O,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> CH2O + CH3,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> CH3CHO + H,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> CH2CHOH + H,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> CH2CH2OH,1.00E-09,1.00E-09,1.00E-09
C2H4 + OH <=> CH2CH2OH,1.00E-09,1.00E-09,1.00E-09
C2H4 + HO2 <=> CH2CH2OOH,1.00E-09,1.00E-09,1.00E-09
C2H4 + HO2 <=> OH + cC2H4O,1.00E-09,1.00E-09,1.00E-09
C2H4 + O2 <=> C2H3 + HO2,1.00E-09,1.00E-09,1.00E-09
C2H4 + CH3 <=> C2H3 + CH4,1.00E-09,1.00E-09,1.00E-09
C2H4 + CH3 <=> C2H3 + CH4,1.00E-09,1.00E-09,1.00E-09
C2H4 + CH2(S) <=> C2H3 + CH3,1.00E-09,1.00E-09,1.00E-09
C2H4 + CH2(S) <=> C2H3 + CH3,1.00E-09,1.00E-09,1.00E-09
C2H2 + H (+M) <=> C2H3 (+M),1.00E-09,1.00E-09,1.00E-09
C2H3 + H <=> C2H2 + H2,1.00E-09,1.00E-09,1.00E-09
C2H3 + O <=> CH2CO + H,1.00E-09,1.00E-09,1.00E-09
C2H3 + OH <=> C2H2 + H2O,1.00E-09,1.00E-09,1.00E-09
C2H3 + HO2 <=> CH2CHO + OH,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CHOO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CHOO,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CHCHO + OH,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CO + OH,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> CH2CHO + O,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> C2H2 + HO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> C2H2 + HO2,1.00E-09,1.00E-09,1.00E-09
C2H3 + O2 <=> H + OCHCHO,1.00E-09,1.00E-09,1.00E-09
